SERIALNUMBER,SERVICEAREA,SERVICETYPE,SYMPTOMCODE
151638000903,ITA_006 : DISTRETTO 4,Standard Repair,Other problem
371209303472,ITA_006 : DISTRETTO 4,Standard Repair,Other problem
371113300939,ITA_030 : DISTRETTO 1,Standard Repair,Emergency cut-out triggers
371322701544,ITA_006 : DISTRETTO 4,Standard Repair,Other problem
371142701023,ITA_071 : DISTRETTO 6,Standard Repair,Other problem
371424001622,ITA_006 : DISTRETTO 4,Standard Repair,Other problem
371423010097,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
151631007383,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
371432001157,ITA_017 : DISTRETTO 3,R+1 Std (Maytag),Other problem
505090606,ITA_009 : DISTRETTO 9,Standard Repair,Front panel damaged / dented - PREORD -
999999999,ITA_088 : DISTRETTO 7,No accessories,Other problem
151543005038,ITA_092 : DISTRETTO 5,Non funz 1°utilizzo,Other problem
505150612,ITA_071 : DISTRETTO 6,Non funz 1°utilizzo,Not assigned
612030126,ITA_009 : DISTRETTO 9,Dif estetici esposiz,Not assigned
371316703024,ITA_071 : DISTRETTO 6,R+1 Std (Maytag),Other problem
151619002915,ITA_043 : DISTRETTO 2,Standard Repair,Other problem
999999999,ITA_030 : DISTRETTO 1,Standard Repair,Microwave metal cage doesn't work
510142880,ITA_017 : DISTRETTO 3,Complex Repair,Accessories / components / parts - broke
503090050,ITA_088 : DISTRETTO 7,Standard Repair,Oven does not switch on
506180550,ITA_006 : DISTRETTO 4,Product Substitution,Outer glass broken - PREORD - NA
151449000309,ITA_092 : DISTRETTO 5,Standard Repair,Oven door not aligned
151641003830,ITA_006 : DISTRETTO 4,Standard Repair,F2E1 on display
151540002937,ITA_017 : DISTRETTO 3,Standard Repair,Oven does not heat
421514011751,ITA_030 : DISTRETTO 1,Standard Repair,Control panel display fault - NA
407210337,ITA_008 : DISTRETTO 8,Standard Repair,Accessories / components / parts - broke
151510006908,ITA_092 : DISTRETTO 5,Standard Repair,Outer glass broken - PREORD - NA
